Fuente,Tipo,Tipo Colav,Entidad Actual,COAR Contolled Vocabularies for Repositories,Tab interface,link impactu,% sobre artículos Udea,count,Notas
minciencias,Apropiación social del conocimiento:   Libros,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
minciencias,Apropiación social del conocimiento:   Notas científica,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Notas+cient%C3%ADfica,0.08,,
minciencias,Apropiación social del conocimiento:   Nueva secuencia genética,,,,,,,,
minciencias,Apropiación social del conocimiento:   Participación ciudadana en proyectos de CTI,,,,,,,,
minciencias,Apropiación social del conocimiento:   Red de conocimiento especializado,,,,,,,,
minciencias,Apropiación social del conocimiento:   Talleres de creación,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Artículos,Artículo de divulgación,works,,productos,,,,chek links
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Boletín divulgativo de resultado de investigación,Otro,works,Resource Types: journal article,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Consultoría científico-técnica,,,,,,,,
minciencias,"Apropiación social del conocimiento y divulgación pública de la ciencia:   Consultoría en artes, arquitectura y diseño",,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Desarrollos Web,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Documento de trabajo,Documento de trabajo,works,Resource Types: working paper,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Edicion,,works_misc,,,,,16294,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Evento científico,,events,,,,,,
minciencias,"Apropiación social del conocimiento y divulgación pública de la ciencia:   Eventos artísticos, de arquitectura o de diseño con componentes de apropiación",,events,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Informe Final de Investigación,Informe de investigación,works,Controlled Vocabularies for Repositories: research report,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Informe técnico final,Informe técnico,works,Controlled Vocabularies for Repositories: technical report,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Libros de Divulgación de investigación y/o Compilación de Divulgación,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Libros de Formación,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Manuales y Guías Especializadas,Manual,works,,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Notas científica,Artículo,works,Resource Types: journal article,productos,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Nueva secuencia genética,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Procesos de Apropiación social del conocimiento para el fortalecimiento de cadenas productivas,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Procesos de apropiación resultado del trabajo conjunto entre un Centro de Ciencia y un grupo,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Procesos de apropiación social del conocimiento para el fortalecimiento o solución de asuntos,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Procesos de apropiación social del conocimiento para la generación de insumos,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Producciones de contenido digital,,works_misc,,,,,6410,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Producción de estrategias y contenidos Transmedia,,,,,,,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Publicaciones editoriales no especializadas,Otro,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Publicaciones+editoriales+no+especializadas,0.23,,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Red de conocimiento especializado,,works_misc,,,,,6223,
minciencias,Apropiación social del conocimiento y divulgación pública de la ciencia:   Talleres de creación,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Colección científica,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Conceptos técnicos,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Consultorias,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Consultoría científico-técnica,,works_misc,,,,,18735,
minciencias,"Desarrollo tecnológico e innovación:   Consultoría en artes, arquitectura y diseño",,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Diseño Industrial,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Empresa de base tecnológica,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Empresas creativas y culturales,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Esquema de circuito integrado,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Informe Final de Investigación,Informe de investigación,works,Controlled Vocabularies for Repositories: research report,productos,,,,
minciencias,Desarrollo tecnológico e innovación:   Informe técnico final,Informe técnico,works,Controlled Vocabularies for Repositories: technical report,productos,,,,
minciencias,Desarrollo tecnológico e innovación:   Innovacion de gestion empresarial,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Innovaciones en procedimiento y servicio,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Innovación de procedimiento,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Nuevo registro científico,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Planta Piloto,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Productos nutraceúticos,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Prototipo Industrial,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Registros de acuerdos de licencia para la explotación de obras,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación Norma o Reglamento,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma acto legislativo,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma manejo clínico forense,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma manuales y modelos de atención diferencial a víctimas,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma protocolos de atención a usuarios/víctimas (pacientes),,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma protocolos de vigilancia epidemiológica,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma proyecto de ley,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Regulación y norma práctica clínica,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Secreto empresarial,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Signos Distintivos,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Software,,,,,,,,
minciencias,Desarrollo tecnológico e innovación:   Spin-off,,,,,,,,
minciencias,Formación de recurso humano:   Apoyo creación de cursos,,works_misc,,,,,30437,
minciencias,Formación de recurso humano:   Apoyo de programas,,,,,,,,
minciencias,Formación de recurso humano:   Asesoría al programa Ondas,,,,,,,,
minciencias,Formación de recurso humano:   Proyecto ID+I con Formación,,projects,,,,,,
minciencias,Formación de recurso humano:   Proyecto de Investigacion y Desarrollo,,projects,,,,,,
minciencias,Formación de recurso humano:   Proyecto de Investigación y Creación,,projects,,,,,,
minciencias,Formación de recurso humano:   Proyecto de extensión,,projects,,,,,,
minciencias,Formación de recurso humano:   Proyecto de extensión y responsabilidad social en CTI,,projects,,,,,,
minciencias,Formación de recurso humano:   Tesis de doctorado,Tesis de  Doctorado,works,Controlled Vocabularies for Repositories: doctoral thesis,productos,,,,
minciencias,Formación de recurso humano:   Tesis de maestria,Tesis de Maestría,works,Controlled Vocabularies for Repositories: master thesis,productos,,,,
minciencias,Formación de recurso humano:   Tesis de pregrado,Tesis de Pregrado ,works,Resource Types: bachelor thesis,productos,,,,
minciencias,No categorizado   Registro general,,,,,,,,
minciencias,Nuevo conocimiento:   Artículos,Artículo,works,Resource Types: journal article,productos,,,,
minciencias,Nuevo conocimiento:   Artículos de investigación,Artículo,works,Resource Types: journal article,productos,,,,
minciencias,Nuevo conocimiento:   Capítulos de libro,Capítulo de libro,works,Controlled Vocabularies for Repositories: book part,productos,,,,
minciencias,Nuevo conocimiento:   Capítulos de libro de investigación,Capítulo de libro,works,Controlled Vocabularies for Repositories: book part,productos,,,,
minciencias,Nuevo conocimiento:   Libros,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
minciencias,Nuevo conocimiento:   Libros de Formación,Libro,works,Controlled Vocabularies for Repositories: book,productos,,0,,
minciencias,Nuevo conocimiento:   Libros de investigación,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Libros+de+investigaci%C3%B3n,1.54,,
minciencias,Nuevo conocimiento:   Notas científica,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=minciencias_Notas+cient%C3%ADfica,0.08,,
minciencias,"Nuevo conocimiento:   Obras o productos de arte, arquitectura y diseño",,works_misc,,,,,7101,
minciencias,Nuevo conocimiento:   Patente de invención,,patents,,,,,,
minciencias,Nuevo conocimiento:   Patente modelo de utilidad,,patents,,,,,,
minciencias,Nuevo conocimiento:   Variedad animal,,,,,,,,
minciencias,Nuevo conocimiento:   Variedad vegetal,,,,,,,,
scienti,1: Producción bibliográfica 11: Artículo 111: Publicado en revista especializada ,Artículo,works,Resource Types: journal article,productos,,100,,
scienti,1: Producción bibliográfica 11: Artículo 112: Corto (Resumen) ,Artículo corto,works,Controlled Vocabularies for Repositories: letter,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Corto+%28Resumen%29_112,6.32,,
